v1,v2
E,"Nico was fucking him. Jason lay on his back, enjoying Nico’s considerable length inside him. He’d tried to sit up for a kiss, only to be pushed back down with force and one word: “down.” Jason had readily obeyed. He had his arms above his head, pinned down by Nico’s hand. Nico was fucking him  hard . Jason marveled at the powerful thrusts that Nico’s slight frame was capable of. He admired Nico’s intense, focused expression. Nico, who in another life he’d thought of as breakable, was completely in control of him. Jason couldn’t stop moaning. Nico couldn’t stop fucking him."
E,"She’s looking into your eyes. It’s a neon fire and it causes you to scream- “iM gAYYYY” Yes the story of how my best friend turned gay from KDA league of legends. Kai Sa stands tall and proud in a dimly lit tunnel. Two strong and glowing waves speed by her- “MY HORMONES HAVE BEEN ACTIVATED AHHHHGHGGGSHAHAHAH” Yes, the beloved Iwachans hormones now explode with as much colour as the beams. Slight kick to the rusty washing machine. Ahri opens her tired but experienced eyes. It been half a decade, she’s earned the look, alphaness shines  clear. She waits impatiently as her clothes wash- “GORGEOUSGORGEOUSGORGEOUSAHHHH” THE CURVE OOF  OOOF LOOK THOSE HIPS AND LEGA OOF SO GOOD yes it is eve that appears. "
E,"Mettaton EX step s  on you in high boots with high heels, forcing you to submit to him and worship his legs.  ""You're getting off to it, aren't you?"" he asks softly as he presses the heel into your skin. ""Disgusting,"" he sighs almost dreamily. ""You're the worst creature I've ever met.""  Afterwards he sits down in an armchair and crosses his legs. ""Come on, darling,"" he says in an almost loving tone as he pulls at the long pink leash attached to the collar on your neck, forcing you to crawl towards him. He rests his chin on his free hand, looking down at you lazily and obviously bored. ""Entertain me, pet."" He nearly shoves his foot into your face. ""Lick it clean.""  After you're done cleaning his high boots, you're rewarded. Mettaton sits on your face and lets you pleasure him until he comes all over your face, cooing about how  good  of a pet you are.  And you do feel like you've done a pretty great job. "
E,"""Sigurd come to my castle for a nice hot cup of coffee"" Arvis said. ""It's the gourmet kind not the instant freeze dried garbage you feed your army.""  ""I do miss good coffee"" said Sigurd. So he came over and Arvis poured him a steaming mug of hot amazing coffee...but there was a secret ingredient in it.  ""I heard you like your coffee with CREAM in it"" said Arvis.  ""Is that why you jacked off into the mug?"" Sigurd asked. ""That's right, I know. It just so happens that I drink my coffee with semen in it all the time!"" Arvis gasped.  ""This is even more shocking than when I learned your-MY wife has a period oral fetish!""  ""What you're not into it? it's hot,"" said Sigurd. Arvis got mad.  ""Atone for your sins by sucking my thick meaty cock while your wife watches!""  so he did and Deirdre got off on it. Then they both fucked her cause having hot sex is better than committing genocide."
E,"Kenny was sick of being immortal so he used a curse to make other people immortal so he wouldn't have to suffer alone. butters volunteered cause they're boyfriends while Cartman did cause he wants to be rich and powerful. But cause Cartman sucks he got cursed with the always-getting-killed stuff and Kenny never got run over or caught fire again.  ""WHY DO I ALWAYS GOTTA GET SCREWED OVER????"" cartman whined  ""Cause you suck,"" said Butters, ""now go get fucked with Shelley's giant dildos."" so Cartman got dildos shoved up his ass again cause South Park always has to have things going in Cartman's ass"
E,"Izuku lied on the bed, watching Katsuki grab his jacket and leave the dorm. The boy was aching, his body felt weak and all he wanted to do was sleep for the entire day. Two am. It was two am when Izuku got the courage to get up from his bed and wipe the dry cum off of his face and shower before resting. This happened almost every night since they got dorms. Izuku was glad that the two made up, but when Katsuki started dating Eijirou, the two still fucked around. It confused Izuku. A lot.  It always happened around eight pm as well. Izuku regrets it all.   ""Stay this time,"" Izuku reached out to the blonde who just shook his head. ""Please.""   ""You know I can't. I won't."" Katsuki pulled away from Izuku's grip, leaving him the same way he was before. Broken, a mess, confused, sad. "
E,"""I never whack off in bed. I THINK IT'S DEPRAVED!"" yelled Beavis who was stoned, cause when he gets stoned he acts all dignified. Butthead tried to smack him but the weed slowed him down and he landed facedown in a bowl of chips  ""huhuhuhuhuh that was cool"" he said and ate the chips like a dog eating dog food.  ""You guys you shouldn't get stoned in my house my parents are gonna get mad also you left the fridge open and one of you peed in the oevn"" whined Stewart but he's a dumb fat kid so no one cares about him anyway.  then a bunch of naked chicks came in and Beavis and Butthead finally scored all over the living room.  and then they woke up from their coma dream brought on by smoking too much weed "
E,"Their lovemaking is frantic tonight. It jolts them alive, makes them forget the fear of almost losing each other earlier.     Rey whimpers deliciously with Ben’s quick, well-placed thrusts. Fucking Rey is like fighting her. He has to be precise, match her rhythm and be extra bold to make her  beg .      “Ask nicely, sweetheart, and I’ll let you come.” Even Ben’s husky voice trembles. He loves taking her from behind, how she grasps at the sheets, how her legs shake, willing.     “Please!  Ben .” It’s all Ben needs to go deeper, faster. She’ll reach her peak in seconds, and he’ll follow, always."
E,"Roger the alien was a giant douche who got drunk and killed people all the time and the Smiths were tired of cleaning up all his messes. Blood's a bitch to get out of stuff and he was stealin all their booze.  ""Roger we're sending you to alien boarding school"" Francine said, she'd made the decision herself cause Stan was too busy being a kiss-ass to his boss and a lousy husband. Roger bitched and moaned and tried to make them drink drain cleaner but when he got to the boarding school there were hot schoolgirls in sexy uniforms and schoolboys walking around without their shirts on  ""I'M STAYING FOREVER"" he said and since the staff was crap he got away with all kinds of shit. The moral of the story is the alien always wins."
E,Stan and Kyle got stoned one day when they were 15 and fucked all over Kyle's house cause pot made them horny. Wendy came in and caught them and started getting mad till she remembered she was fucking Heidi and Bebe anyway so she went off to bang them under a bridge. What under a bridge is totally a fine place to bang.  Kyles mom came home to find cum all over the couch and got mad cause cum is a bitch to clean up so she bought a new couch but Kyle had to give up his allowance for a month to pay for it and put a slipcover on. Which was fine considering she coulda done worse like blown up Canada or something.  Stan also learned that his dad's new pot farm was good for one thing cause he was stealing his dad's pot.
