entry	HITS	KUDOS	TAGS	TEXT	TITLE	WORDCOUNT	COMMENTS	SUMMARY	DATE	BOOKMARKS
33	14	1	Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,M/M,Saint Seiya,Cancer Deathmask/Pisces Aphrodite,Pisces Aphrodite,Cancer Deathmask,Drabble,	"""Why do you always fall for the same trap?"" Aphrodite questioned as he shook his head at Deathmask.  ""It's a very good trap,"" Deathmask replied. The vines binding him hadn't found his mouth yet, unfortunately. But there were thorns pressing into his skin, and little blood droplets were welling up on his arms and neck.  ""It is."" That was why he'd set it, after all. ""You seem very fond.""  Deathmask swore as Aphrodite reached to guide the vines lower and into Deathmask's pants, as if Deathmask couldn't easily break them.  ""Don't worry."" Aphrodite licked his lips. ""I'll make them share."" "	Thorns	100	0	Deathmask, trapped. 	2019-02-02	0
34	292	40	Teen And Up Audiences,No Archive Warnings Apply,M/M,Teen Wolf (TV),Derek Hale/Stiles Stilinski,Stiles Stilinski,Derek Hale,Drabble,Alternate Universe,Established Derek Hale/Stiles Stilinski,Pizza,Making Out,Domestic Fluff,	'Choose wisely,' Stiles intoned, holding a pizza menu in one hand, Chinese take-out in the other. Only momentarily confused, Derek looked up from his book, 'Let's order pizza.' Stiles made the call then plonked himself alongside Derek, rubbing against him, like a cat. 'Stiles?' Stiles took away the book and straddled Derek's lap. Eager kissing and writhing commenced. When Derek's mouth was free: 'Stiles, this is nice…' 'Without doubt.' 'But, what's…' 'Pizza's fattening. So let's burn up the weight we'll gain eating it before it gets here.' 'Makes sense,' Derek agreed, whether it did or not. 'We have thirty minutes.' 	Can't Say No	100	7	"The sterekdrabbles challenge for 02/01/19: 'doubt, choose, gain' I took the title from Tyler Hoechlin's famous declaration, ""You can't say no to pizza,"" but it has other implications too! "	2019-02-02	2
35	31	5	Teen And Up Audiences,No Archive Warnings Apply,M/M,Star Trek: Enterprise,Jonathan Archer/Thy&#39;lek Shran,Jonathan Archer,Thy&#39;lek Shran,Drabble,	Archer's body protested upon waking. Then, realization: he had been sleeping half-slumped against the metal bulkhead that made his headboard.  He hadn't felt like this in over a decade—temples pounding, stomach 'kill me now' nauseated—and stretched, disrupting what could only be a body.  Which was unusual.    Halfway down Archer's chest, limp antenna and white hair greeted him. Shran's lips were tinted dark blue, a matching spot on his neck; Archer imagined himself much the same.  Andorian Ale. And then something that really turned on the two of them—sloppy and passionate.  Shran woke up with a hoarse swear. 	ruin my moonlight	100	2	The morning after. 	2019-02-02	0
36	161	18	Teen And Up Audiences,No Archive Warnings Apply,M/M,Lucifer (TV),Lucifer Morningstar/Marcus Pierce,Marcus Pierce,Lucifer Morningstar (Lucifer TV),Angst,Twisted and Fluffy Feelings,Idiots in Love,emotionally repressed immortals try to talk about their feelings,a gift for a lovely commenter,	'What makes you think I'd choose you?' Pierce asks. Lucifer doesn't even try to hide the hurt that flashes across his expression. It bothers Pierce more than it should. 'Desperation?' Lucifer grits out. 'You don't want to be alone anymore. Don't want to hurt. I'm the only immortal you'll ever meet who would actually stay with you, because I'm the only one who knows how it feels.' Pierce's heart hurt. 'Know how what feels?' Lucifer crosses the distance between them in two strides and kisses him, tenderly. There are tears on his lashes. 'Being hated, and knowing you deserve it.' 	Undeserving	100	4	Maybe if it hurts, that means it's working. 	2019-02-02	0
37	11	3	Teen And Up Audiences,Major Character Death,M/M,Fairy Tail,Rogue Cheney/Sting Eucliffe,Rogue Cheney,Sting Eucliffe,Angst,future rogue angst is always good,	Being with Sting was like being part of a song.  It had a melody, and a rhythm, and movements that mapped out the path that their lives had taken together.  Through the loss of parents, of friends… through everything that life had thrown their way.  It was as joyful as it was sorrowful, and it defined Rogue's life in a way he found difficult to articulate.  The day the music ended, was the day Rogue had put his hand through Sting's stomach, as dragons destroyed the world around them.  Sting had smiled at him, his half transformation into a dragon fading, and he'd thanked Rogue even as he'd bled out.  Thanked him for saving his soul.  As Sting died in his arms, so too did the music in Rogue's heart.  Replaced only by a soundless void, that ached for the bright melody it had once known.  And he resolved, in that moment, to do whatever was necessary to bring it back, to undo all that had befallen them.  Even if it meant sacrificing everything else. 	The Day The Music Died	175	2	Being with Sting was like being part of a song. 	2019-02-02	0
38	44	3	Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,M/M,The Lord of the Rings - J. R. R. Tolkien,Elrohir/Legolas Greenleaf,Legolas Greenleaf,Elrohir (Tolkien),	"Late Breakfast By CC  January, 2016   This is an amateur effort and does not intend to infringe on the rights of J.R.R. Tolkien. No profit is made and no harm is intended.   This was written for Jay of Lasgalen! Happy Birthday!   Legolas stretched languidly on the bed, wondering where Elrohir was. A night of lovemaking in the peaceful Imladris had exhausted them both. Legolas was not an early riser, not when he was off duty at least.  ""Awake at last?""  Elrohir was standing at the entrance, a bed tray with tea, bread, and cheese in his hands.""  Legolas sat up. ""Don't tell me that breakfast is over. Did your father ask...?""  ""I told Papa that you were exhausted after a month in the wilderness.""  ""I'm not that weak!"" Legolas protested as Elrohir set the bed tray before him.  ""I could go back and tell him why you were exhausted then.""  ""No, please. I know he knows, but still...""  ""Elladan hinted at it anyway.""  ""Your brother is...""  ""Incorrigible, I know. Now enjoy your breakfast, love. We have a Council meeting with Father and his counselors this afternoon."" "	Late Breakfast	188	0	Legolas oversleeps... 	2019-02-01	0
39	85	12	Teen And Up Audiences,No Archive Warnings Apply,M/M,終わりのセラフ | Owari no Seraph | Seraph of the End,Hyakuya Mikaela/Hyakuya Yuuichirou,Hyakuya Yuuichirou/Saotome Yoichi,Weddings,Emotional Hurt/Comfort,	Mikaela looked at the handsome boy wearing the black wedding tuxedo and holding a bouquet walking down the aisle towards him. He was out of words. Yuuichirou, the boy, looked back at him with loving eyes of admiration... The sixteen years of being together always felt like new, with every single day full of life, joy, and passion. And now the church bells rang joyfully, all of the guests were excited, and a new married life was about to begin.  Yuu let out a soft sigh as his eyes passed Mika, and he tried his best to hold back his tears. He had to be brave. He struggled to focus now on Yoichi, the man beside Mika who stared at him more intently. Without opening his mouth, his olive eyes sparkled out the words written in his chest. Yuu's eyes glazed with unshed tears... He forced a smile as a tear rolled down his cheek, but it was left unnoticed beneath his black wedding veil. He was getting married to Mika's friend, who loved him more than a best friend... A thing Mika could never do. 	Love Hurts	186	0	"""Weddings are supposed to be happy. Yet... Why am I sad?"" "	2019-02-01	0
40	89	3	Mature,Creator Chose Not To Use Archive Warnings,M/M,Marvel,Stucky,Sam Wilson (Marvel),Tony Stark (Marvel),Natasha Romanov (Marvel),Bucky Barnes (Marvel),Steve Rogers (Marvel),Bruce Banner (Marvel),Smut every so often,Angry Bucky,Protective Bucky,pre-serum steve,After Serum Steve,cursing,	Steve's P.O.V  It was a normal Wendsday morning for me .   I was going to hang out in the lab with Banner when all of the sudden 'BOOM!' the chemicals on the table had exploded and got all over Me. I knew that Tony and Bruce were going to be so pissed! All of the sudden my skin started burning and tingling. I let out a loud scream hoping that someone would hear me. The last thing I remember was me passing out. Bucky's P.O.V I was woken up with a sound of a loud scream that sound a hell of a lot like Steve's. I jumped out of bed as quickly as possible and sprinted to where the scream came from. When I got there what I saw scared the shit out of me. 'TONY!!' I screamed. 'WHAT' he shouted back. 'COME LOOK AT THIS!' I yelled. 'What do ya need Buckaroo......oh shit' there he was my baby Steve but without the serum. What the hell was I going to do... 	Whoops!	176	0	What would happen if Steve was in the Lab when there was an accident and he turns back into Pre-Serum Steve? 	2019-02-03	0
41	5	0	Mature,Creator Chose Not To Use Archive Warnings,F/M,Avatar: The Last Airbender,Toph Beifong,Aang (Avatar),	toph  I see you aang what do you mean your pant have a Bugle  in there aang look down to see his election sticking out in his pant let me help you with that aang toph pull down his pant aang election sprang up to 10 inch damn your cock is huge aang let me stroke it for you toph begin to stroke aang cock slowly then pick up the pace stroking his cock faster as fuck toph that feel good aang said to in pleasure I about to cum do it toph said aang begin  to cum  like a water  fountain after he was finished cumming toph begin to grind on his erection twerking her big booty up and down his shaft  toph then give up  aang body and walk away  while aang was smiling having feeling the best pleasure he ever felt in his life 	toph give aang the best pleasure	147	0	 	2019-02-03	0
42	9	1	Mature,Creator Chose Not To Use Archive Warnings,Teen Wolf (TV),Theo Raeken &amp; Tara Raeken,Theo Raeken,Tara Raeken,Theo in hell,Really angesty,Self-Hatred,Blood,Violence,	She's coming again, coming to retrieve what's rightfully hers. Ripping through flesh and spilling red, hot blood all over the cold marble floors. Staring with her soulless eyes as the heart stands mockingly beating in her cold, ghostly hand. Then everything goes black all his screaming and pleas turn stilent as he wakes up in the same freezing, metal morgue... Again and again, over and over... For the thousandth time. Soon he stops pleading all together, just simply stares at her lifeless body as she crawls over to him, her body only skin and bones. He doesn't fight anymore, welcoming her cold hand, allowing her to rip through his flesh as she try's to find the thing he stole from her unfairly. He doesn't block out the sounds either, gathering comfort from the sickening cracks and her appreciative sign when she finally locates her missing heart. Because he deserves this, deserves the torture, the pain. It's the sickest form of karma but he deserves it. That's his last thought as he welcomes the darkness again and again. 	Deserving Hell	177	0	Just a quick Theo in Hell one-shot. 	2019-02-03	0
43	105	3	Mature,No Archive Warnings Apply,M/M,Harry Potter - J. K. Rowling,Lucius Malfoy/Severus Snape,Lucius Malfoy,Severus Snape,Master/Pet,Collars,Drabble,Sub Severus Snape,Bottom Severus Snape,	"""For me?""  ""For you.""  Lucius held up the small black box, lid up and open to reveal the white leather collar inside that lay on a black silk cushion. The collars buckles were silver and polished perfectly. A tag was attached to the front buckle, Severus's and Malfoys name engraved in it, besides the Tag was an equally shiny bell, ready to ring with the  slightest  movement.  Severus gulped, swallowing the lump in his throat, bought on by a strange emotion he had yet to discover; He felt grateful to the pureblood.  Grateful! For a collar!   His dark eyes, encased in black circles bought on by a lack of sleep, slowly lifted to meet Malfoy's pale ones.  ""Why?"" Snape simply asked, voice lacking (or refusing to hint at,) any emotion.  Lucius's lips pulled up into a smirk, some hidden agenda behind them, but there always was something deeper with him then there was on the surface.  ""Becuase you're my  good boy ."" "	Good Boy	161	0	 	2019-02-03	0
44	55	5	Mature,No Archive Warnings Apply,F/F,World Wrestling Entertainment,Stephanie McMahon/Reader,Stephanie McMahon/Original Female Character(s),Stephanie McMahon/You,Stephanie McMahon,Original Female Character(s),Reader,You,Headcanon,WWE - Freeform,wwe headcanon,wwe headcanons,Protectiveness,Fluff,Love,Reader-Insert,	       Steph adores you and loves you with her whole heart.   So, of course, she would be extremely protective you, though she isn't the possessive protective type.   She doesn't want to see you in any harm, she cares about your feelings.   So when some fans or rude idiots decide to bring you down, and hurts your feelings she tells them off.   While comforting you and telling you not to listen to them.   Steph always has your back listening to all your problems.   She is extremely protective when you's are out in public too, you never know what people are capable off.   She likes to hold your hand in public and pull you closer to her.  	Protective!Stephanie McMahon	114	0	 	2019-02-03	1
45	28	4	Mature,Creator Chose Not To Use Archive Warnings,Gen,Stargate Atlantis,Laura Cadman,Drop Dead Diva AU,Ladies Poker Night,Unhealthy Coping Mechanisms,Post Episode: s02e04 Duet,	'Rodney McKay spent his last moments alive feeling disgusted and embarrassed because I kissed Carson Beckett. He understood, he forgave me instantly, not wanting me to die unforgiven, but; he still died feeling skin crawling grossed out because I kissed his best friend, with his body.'  Laura Cadman was the exception at the table. It was girls poker night but it stopped being poker night over an hour ago, when Kate pulled out a bottle of Zelenka's rotgut moonshine that they cut into increasingly smaller portions of Gangu'ua juice. It wasn't the best mixed-drink if you were judging by the taste, but they weren't drinking for the buzz tonight.   Laura lifted her hand, scratching at the back of her neck, shivering when she scraped the short hairs at the back of her neck instead of catching whispy strawberry blonde hair.   'You know, I never regained consciousness. My body, never regained consciousness. It fell to the floor, and three hours later, flatlined.' Laura reached for the bottle, topped off the shot glass sitting by her, and the night got blurry while she drowns the pain. 	Solo, without accompaniment	184	0	What if Duet ended differently. 	2019-02-02	0
46	UNKNOWN	7	Mature,Major Character Death,Gen,Star Wars Prequel Trilogy,Sheev Palpatine | Darth Sidious,Alternate Universe - Dark,Drabble,GFY,	How did it begin?  It began with a smile, a clasp of a hand, a trickle of ice into a molten heart.  It began with a hand on a shoulder, a few friendly words, a tendril of shadow wormed in among all the rest.  It began with a pinch of pain, a mission gone wrong, a blankness that whispered only agony.  How did it end?  With the realization of a terrible mistake.  With a sweet smile that masked ruthless intent.  With a warm laugh that belied uncompromising rage.  With an ice-blue blade of molten plasma wielded with a soft apology. 	Insidious Mistake	100	0	How did it end?  With the realization of a terrible mistake. 	2019-02-02	0
47	166	4	Mature,No Archive Warnings Apply,F/F,Law &amp; Order: SVU,Olivia Benson/Amanda Rollins,Monique Jeffries/Melinda Warner,Olivia Benson,Amanda Rollins,Monique Jeffries,Melinda Warner,Original Characters,Alexandra Cabot,Odafin &quot;Fin&quot; Tutuola,Femslash,Futanari,Pregnancy,Jealousy,	"Olivia And Amanda Have A Baby  By Taijutsudemonslayer     Part 1     Chapter 1   NYPD Detective Amanda Rollins sat at her desk, shifting uncomfortably in her seat as her growing erection continued throbbing in her jeans, the reason for the blonde's distress was right in front of her,  Standing at Amanda's desk, wearing a sensible, albeit sexy maroon blouse and black skirt and a pair of three inch heels was Olivia Benson, SVU's Lieutenant, and Amanda's boss dressed for court  ""Fin, you're in charge while I'm in court,"" Liv said,  ""You got it, Liv."" Fin replied.  Career criminal and known pedophile Andrew Saunders cursed under his breath as the Judge read the guilty verdict that the jury handed down in his rape trial, his punishment for the rape and murder of nine year-old Miranda Mason has yet to be determined by the Judge,   Olivia smiled, at least this time justice will be served and Saunders would hopefully never be able to harm anyone else ever again.    "	Olivia And Amanda Have A Baby	164	0	Title says it all... 	2019-02-02	1
48	171	24	Mature,No Archive Warnings Apply,M/M,SEVENTEEN (Band),Hong Jisoo | Joshua/Yoon Jeonghan,Hong Jisoo | Joshua &amp; Yoon Jeonghan,Hong Jisoo | Joshua,Yoon Jeonghan,Alternate Universe,Alternate Universe - Spies &amp; Secret Agents,Spies &amp; Secret Agents,	Jeonghan said slowly, right into Joshua's ear. 'Hold it tight enough. And pull the trigger. Wait for the recoil.'  Shivering, Joshua held onto the gun with shaky hands. 'What if I don't want to know how to shoot a gun?'  'You got to learn baby,' Jeonghan said, kissing him on the temple. 'Come on. Try it. For me.'  With a deep breath, Joshua inhaled and brought the trigger in.   A bullet shot out, screaming as it hit the target.  'Good job.' Jeonghan held him, as the recoil shocked Joshua and he lost his balance.      Jeonghan panted, licking his lips tasting blood. 'This isn't how I thought you'd be using what I taught you baby.'  Joshua narrowed his eyes, aiming the gun at Jeonghan. 'You didn't think about a lot of things,' he said softly.  He was going to die. Killed by the love of his life. Jeonghan didn't see this coming at all.  Face twisting into a sneer, Joshua snarled. 'Thanks for the lessons.'  A gunshot echoed in the empty factory.  Finger pressing into his earpiece, Joshua said, 'Target killed.'  'Good. Come back to base agent.' 	Bang Bang	186	2	Jeonghan panted, licking his lips tasting blood. 'This isn't how I thought you'd be using what I taught you baby.' 	2019-02-02	0
49	29	11	Mature,Creator Chose Not To Use Archive Warnings,Gen,Final Fantasy XV,Ardyn Izunia,Poetry,warnings for suicidal thoughts,Depression,and insanity/going insane,canon-ish from Ardyn&#39;s POV,angst and sadness and no happy ending here,	They should have remembered that there is no wrath slipping          sanity    When I once again walked the unbound Land, my staff  and sorrow buried so far below in a heart I'd never acknowledge)   slip      ping           san  ity  	the bloodiest hands...	198	1	Healer, Accursed - Forgotten King Fanpoem for the poetry-hat collection and the discord. Angst ahoy my lovelies 	2019-02-02	0
50	348	24	Mature,No Archive Warnings Apply,M/M,Teen Wolf (TV),Derek Hale/Stiles Stilinski,Dom/sub,Sub Derek Hale,Dom Stiles Stilinski,Collars,Light BDSM,Feral Derek Hale,Mildly Dubious Consent,Drabble,Alpha Derek Hale,	Red hooded eyes stare up at him, Derek completely lax on the mattress. Stiles tugs on the collar, making sure it's not too tight and not too loose. Derek lets out a low whine, jutting his hips up against Stiles's.  Stiles chuckles and shakes his head. 'Not yet, love.' Derek only blinks at him, not understanding a word. Then he reaches up and nuzzles into the juncture of Stiles's neck, huffing and licking at the skin. 'Such an impatient sourwolf.'  Stiles abruptly shoves Derek back down and presses their lips together. Derek growls as Stiles ruts against him, rumbling back. 	Good Sourwolf	100	4	The sterekdrabbles discord group participated in a January Jaunt and I got the lovely rieraclaelin. She requested feral Derek with some BDSM, specifically sub!Derek and dom!Stiles. Thus, this beauty was born!  Enjoy!  *Tagged as mild dubcon since Derek can't really give his consent.* 	2019-01-31	0
51	314	35	Mature,No Archive Warnings Apply,M/M,Teen Wolf (TV),Derek Hale/Stiles Stilinski,Stiles Stilinski,Derek Hale,Drabble,January Jaunt 2019,Alternate Universe,Established Derek Hale/Stiles Stilinski,Knotting,Magical Stiles Stilinski implied,	Pressing himself against Derek's chest, Stiles felt sweat between them, and something like a baseball in his rectum. (Being the analytical type, he liked precise comparisons.) After his third orgasm he also felt a bit detached, mentally at least, from the proceedings. Derek, non-verbal, managed only grunts, exhalations both sudden and slow. Stiles reached behind, nesting his fingers in Derek's sweaty hair. 'So if I conjure up a knot on my dick, then I can knot you?' he asked. A deep, drawn out, ' Mmmm ,' meant Derek had either climaxed again or else he was agreeing. Stiles decided Derek was agreeing. 	January Jaunt 2019 2: Knot Likely	100	6	My second January Jaunt drabble for AJenno. Her prompt was  knotting.  	2019-01-31	0
52	139	30	Mature,No Archive Warnings Apply,M/M,Teen Wolf (TV),Derek Hale/Stiles Stilinski,Derek Hale,Stiles Stilinski,Drabble,January Jaunt 2019,Alternate Universe,Married Derek Hale/Stiles Stilinski,Honeymoon,Fluff and Humor,Attempt at Humor,mature rating for Stiles&#39;s references to sexual anatomy,	From their heart-shaped tub, Stiles watched his naked husband stalk around dimming lights, the perfect way to spend their honeymoon. No. Wait. Not perfect. 'D'erk,' Stiles slurred. 'Ya need t' get in. Think I'm stuck in a ventricle.' Hopping gracefully into the tub, 'How much champagne have you drunk?' Derek asked. ' Lots . Kiss me now.' Derek kissed him. 'You taste like  Veuve Clicquot .' Stiles sighed. 'You're so smart. Married you ‘cause you're so smart, ya know.' 'I know.' After another kiss, 'An' ‘cause you got a great ass and bomb dick.' 'I know, Stiles. You said that in your vows.' 	January Jaunt 2019 1: From the Heart	100	18	On Discord the drabble writers of Sterekdrabbles came up with a fic exchange, January Jaunt 2019. The recipient whose name I drew listed four prompts and I decided to write a drabble for each one. 	2019-01-30	0
53	505	34	Mature,No Archive Warnings Apply,M/M,Teen Wolf (TV),Derek Hale/Stiles Stilinski,Derek Hale,Stiles Stilinski,Alternate Universe - High School,Virgin Stiles Stilinski,Virgin Derek Hale,First Time,Loss of Virginity,	With the sheriff working overnight and Derek's parents out of town, it's Stiles and Derek's first night alone since they began dating. Being virgins, their first time isn't something they want to rush. Hands and lips press over exposed flesh as they slowly undress and once done, it's as if their bodies are made for one another, fitting together perfectly. Inexperience is clearly  not  an issue as both give and take as needed. Harsh pants fill the air as they bring each other to completion before collapsing from exertion. They wake the next morning, still wrapped in each other's arms.     	their first time	100	10	the one where they lose their virginity 	2019-01-30	1
54	272	16	Mature,No Archive Warnings Apply,M/M,Lucifer (TV),Lucifer Morningstar/Marcus Pierce,Lucifer Morningstar (Lucifer TV),Marcus Pierce,Slash,Non-Explicit Sex,Voice Kink,Language Kink,name kink,Wing Kink,that&#39;s a lot of kinks for a non explicit fic that&#39;s only 100 words long,	It takes a surprisingly long time to get from the balcony to the bed, from kissing to what comes next. 'Cain,' Lucifer whines, when Pierce bears down on him. 'Cain.' 'Samael,' Pierce counters, and Lucifer wails, wings unfolding from his back. Afterward, under the blanket of feathers, Lucifer speaks softly, in the rounded, heavy language of the time before Babel. What do you desire? Cain answers, sharp and tight-jawed.  To die. 'That's a different dialect,' Lucifer derails, in English again. 'Where were you living, then? Sounds Eastern.' 'Do you  ever  shut up?' Pierce growls, shoving Lucifer into the mattress again. 	Spoken	100	4	In crude terms, third base. 	2019-01-29	0
55	48	6	Mature,No Archive Warnings Apply,F/F,Ghostbusters (2016),Jillian Holtzmann/Abby Yates,Abby Yates,Jillian Holtzmann,Wordcount: 100-500,Wordcount: 100-1.000,	"""Okay, all right, honey, that's really lovely, but I'm trying to balance this magnetic field, so if you could just-- Okay... Mm. All right. Holtzmann. Baby. You know I can't-- Oh, Fuck me. All right, all right, just let me put this-- Honey...! Oh fuck, that feels good. Oh, God. Jesus. Yes!...""  It wasn't silence that descended upon the lab, but no more words were said for some time. Instead, the space was filled with the screeching of chair legs, air passing through rapidly working lungs, and eventually a crash or two.  ""You're paying for that,"" said Abby, kicking a piece of bent metal out from under her leg. She'd have to start the experiment all over again, but she could be mad about that later.  ""I'll just steal one from the chem department.""  ""I knew there was a reason I loved you."" "	"""Break"" Has Two Meanings"	143	0	Misuse of institute facilities. 	2019-01-29	0
56	155	40	Mature,Creator Chose Not To Use Archive Warnings,M/M,Sherlock (TV),Sherlock Holmes &amp; Related Fandoms,Sherlock Holmes/John Watson,Sherlock Holmes,John Watson,Anniversary,	"There are words, words he should say, but as he looks up into Sherlock's face, eyes nearly closed, the ridiculously posh lips parted as he moves slowly above him, he knows anything he could say wouldn't be enough, not nearly enough, so he laughs, then covers his mouth with both hands as Sherlock glares down at him, but the lips quirk up in understanding.  As he well knows, the laughter is a symptom of joy, not of derision, and he leans closer and kisses him lightly, then whispers, ""happy anniversary, John.""  There is nothing more to be said as John's arms wrap around him tightly as he buries his face into John's neck and breathes him in, their separate scents have long fused together, though he can still remember, as he always remembers everything; a time before, a time before John, a time before he was loved, before he found he was capable of returning the love. John's arms tighten around him as he sobs, fingers lightly trace over the old scars and as he finally finds his voice whispers back, ""happy anniversary, love."" "	Another year	184	18	January 29. 	2019-01-29	1
57	36	1	Mature,Creator Chose Not To Use Archive Warnings,F/M,Harry Potter - J. K. Rowling,Pansy Parkinson,Garrick Ollivander,	    'Oh my gosh, Mr. Ollivander,' Pansy gasped, 'That thing is huge!' She never thought a day in her life, that she would feel such a sensation from holding a wand.      'You need to rub it this way Ms. Parkinson' he took his hand, dipped it in some oil, and started gently stroking the wand making sure to take his time.      'Okay sir,' she said watching him intently.     'Now you try,' he says handing her the oil.     She grabs the bottle and squirts a generous helping into her hand. She grabs the wand at the hilt and starts slowly massaging the oil into the wand, making sure not to be too rough.      'Yes Pansy, just like that. Don't forget the tip.'     She finishes rubbing down the wand and places it on the counter.      'Mr. Ollivander, I'm tired of polishing these wands, I thought you needed an apprentice to help you make them.' 	Wand Work	151	2	Pansy has graduated Hogwarts, and Mr. Ollivander has some business she needs to attend to.  **Just to add, everyone is of legal age. 	2019-01-29	0
58	17	2	Mature,No Archive Warnings Apply,Star Trek: Deep Space Nine,Kira Nerys/Odo,Love Poems,	A heartbeat A feeling of pure joy Of warmth Of safety Never letting me go It flutters in my mind A relaxed feeling Like sitting by a fire, drinking coca On a cold mourning, Like a warm embrace from someone you love One cannot replicate this feeling  Or the feeling behind it would be lost No miraculous drug To bring fourth this sensation All you need is warm light, and your own imagination To feel like you can fly And to know this pleasure is possible Is a pleasure in its own  Of its own  Of our own Togetherness is the key Surrounded in the warm light that I love,  Until the light turns to a beautiful nothing in my arms   	Warm light	121	2	 	2019-01-28	0
59	15	3	Mature,Rape/Non-Con,Underage,Original Work,Childhood Trauma,poem,Implied Childhood Sexual Abuse,	that's the thing, isn't it  woke up one morning  funny isn't it  scratch, scratch, scratch  please do not touch me  shivers down my spine  but no matter how much i scream  i don't even think i'm human anymore  you ruined me  i bet you can't even remember my name.  bet you didn't even know my name. 	paper skin, glass heart	153	0	pain never ends. 	2019-01-28	0
60	1	0	Explicit,No Archive Warnings Apply,Multi,DOGS (Manga),Batman - All Media Types,Gotham City Sirens (Comics),Naruto,Pocket Monsters | Pokemon - All Media Types,Wattson/Blaine,Badou Nails/Harley Quinn,Dave Nails/Poison Ivy,Kosaburou | Butch/Yamato | Cassidy,Kikuko | Agatha/everyone- even YOU,Kikuko | Agatha,Tessen | Wattson,Katsura | Blaine,Badou Nails,Dave Nails,Poison Ivy | Pamela Isley,Harley Quinn | Harleen Quinzel,Kosaburou | Butch,Yamato | Cassidy,Hatake Kakashi,Maito Gai | Might Guy,Welcome to our Nightmare,Y&#39;all don&#39;t know us but you&#39;re about to hate us,this is fanfic on crack cocaine,im sorry,This will literally not make sense to anyone but the writers,Please sit back and enjoy our nonsense,	The building was old. Somehow the brick was...  crusty . Sickly green stains practically decorated the damn place. Dilapidated windows, gutter jutting off the side- trying to hold on for dear life. That felt like a good anal-gy for his current predicament. David Theophilis (don't ask) Nails had seen a lot of shitholes in his life. Lived in a few too. But, he was always a sucker for a good bargain. Here lies the lowest prices in town, and  guaranteed  heat and electricity.   He was sold. His brother will love it too. He'll have to- Dave signed it in his name. 	Baby Leave the Ankle Weights On	100	0	What happens when two best friends make an au to dump in every character they've role played? This. This fucking trashfire happens. 	2019-02-03	0
61	327	2	Explicit,Graphic Depictions Of Violence,F/F,The 100 (TV),Clarke Griffin/Lexa,Clarke Griffin,Lexa (The 100),Hurt Lexa (The 100),Angst,	Hey,  Well, so I‘m looking for this fic I was reading months ago. It was pretty angsty but beautifully written. So I remember Clarke being called (?) by the Grounders to avenge Lexa's betrayal. I think Lexa was tied up to a „blood tree' or something similar (I remember that the Grounder had a special name for the tree as all Commanders got executed there). Clarke should cut Lexa or kill her, I don‘t remember but then Clarke saved her and they retreated to a cave where Clarke treats Lexa's wounds and they grew closer together. It was such a good read and nobody was able to help me out yet... I hope you have better luck! If not, I‘m sorry I took your precious time and appreciate your afford! 	Looking for a fic	153	8	I‘m so sorry to bother you but I need the help of the Clexa fandom! I will delete this ASAP if you guys are able to help me out! 	2019-02-03	0
62	23	1	Explicit,No Archive Warnings Apply,N/A - Fandom,BDSM,Bondage,Rambling,Daddy Kink,	Do they know I call you Daddy?  While you're playing cards in the pub, while you're working underneath cars, do they realise how you make me moan that title as you whip and bruise me, marking me yours?  They see a best mate, a colleague like any other, they don't know how you make me beg for relief as you bring me to orgasm after constant orgasm. You hold the leash, the whip, my neck. But they don't know that. They don't realise you're my Daddy, my owner, and I'm your submissive little cumslut, who'll slave over your cock for a precious prize. They see an old man at heart and his young, ambitious love. They're not wrong. 	Do They Know...?	118	0	 	2019-02-03	0
63	329	3	Explicit,No Archive Warnings Apply,F/M,M/M,Multi,Harry Potter - J. K. Rowling,Fred Weasley/George Weasley,Fred Weasley/George Weasley/Reader,Fred Weasley/Reader,George Weasley/Reader,Fred Weasley,George Weasley,Reader,Drabble,Porn,Threesome - F/M/M,Cunnilingus,Brothers,Twins,Twincest,Incest,Sibling Incest,Reader-Insert,	Fred sits naked behind you.  You lean back against his chest.  George's head is between your legs, his tongue licking slow lines across your clit.  Fred reaches down and weaves his fingers into his brother's hair.  George strokes your thighs as he pleasures you with his mouth.  Fred kisses your neck and caresses your breasts, and when your breath grows heavy and your body starts to writhe, he grips George's head and holds it flush to your pussy.  You lay your hand atop Fred's and rock your hips until your orgasm engulfs you; they moan in unison at your ecstasy. 	Assistance	100	0	Fred helps George go down on the female reader. 	2019-02-02	0
64	165	4	Explicit,Rape/Non-Con,F/M,Injustice: Gods Among Us,Superman/Reader,Drabble,Mind Break,non-con,Torture,dark superman/reader,possessive,Loss of Virginity,Blood,Gore,Rape,Extremely Dubious Consent,Vaginal Sex,Angst,	His cock rams into me in one powerful thrust, splitting me open from below and all the way to the limit of my cervix. My back shags weakly still until I'm lying flushed against his strong chest, moaning and sweating profusely, his thick arms wrapped around my slender waist to hold me still as he continues to fuck into my tight channel mercilessly, powerful and precise, the fresh blood trickling down my pussy and onto his throbbing cock becoming the only source of lubrication that can help ease my burden. I am trapped with nowhere to run, my pussy throbbing in pain, clamped down around his thick, pulsating hardness, the beat matching my estranged heartbeat. 	Powerless	115	0	read the tags. 	2019-02-01	1
